timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,acc_mag_sq,gyro_mag_sq,label_id
1774620312639,-1.3785863,-0.6089034,-0.8749566,0.049562022,0.21015562,0.12698603,3.0368128,0.062747225,1
1774620312656,-1.9158903,-0.5067563,-1.4539866,-0.17708097,0.03160911,0.27147532,6.041515,0.106055655,1
1774620312676,-1.8735254,-0.7379079,-2.1563678,-0.3715153,-0.152683,0.40205857,8.704527,0.32298678,1
1774620312696,-1.3214009,-1.0868349,-3.0308037,-0.43967974,-0.19003771,0.48276338,12.113081,0.4624931,1
1774620312716,-0.7097528,-1.5060132,-3.6903439,-0.37204823,-0.07146191,0.50674504,16.390463,0.40031725,1
1774620312738,-0.2424702,-1.7748609,-4.1614776,-0.22534399,0.10956604,0.53002715,20.52682,0.3437134,1
1774620312756,-0.21332127,-1.8095844,-4.122238,-0.05624024,0.152683,0.55683994,20.31295,0.3365458,1
1774620312777,-0.03248197,-1.9240351,-3.8419118,-0.0031975498,0.08596746,0.51662076,18.463253,0.27429762,1
1774620312796,0.42698526,-1.8706791,-4.2871795,-0.090996936,-0.022582695,0.46384457,22.061665,0.2239422,1
1774620312816,0.44437554,-1.3998277,-4.4764585,-0.15761256,-0.018019525,0.43551627,22.195667,0.21484084,1
1774620312840,0.29180515,-0.7580776,-3.8465805,-0.030226838,0.21245386,0.40650517,15.456014,0.21129677,1
1774620312855,0.18302998,-0.14176798,-2.4320273,0.18923832,0.44460928,0.3524799,5.9683547,0.35773063,1
1774620312876,0.14604229,0.3736105,-1.0368967,0.3138095,0.44870615,0.27269104,1.2360679,0.37417403,1
1774620312896,0.009441435,0.76851606,-0.033852577,0.29054403,0.2228126,0.19576666,0.5918521,0.17238587,1
1774620312915,-0.30500835,1.2115655,0.58214474,0.17454958,-0.031692382,0.15887825,1.8998135,0.05671426,1
1774620312939,-0.6139078,1.7555709,0.7551079,0.098074846,-0.14442267,0.16387442,4.0291,0.057331406,1
1774620312957,-0.75141245,2.158001,1.3225574,0.13156585,-0.07575861,0.13717821,6.970747,0.0418668,1
1774620312975,-0.8521898,2.0368714,2.1367073,0.23302144,-0.005229326,0.04857944,9.44059,0.056686297,1
1774620312995,-1.009735,1.9679685,3.25181,0.36795136,-0.10070616,-0.124954246,15.466733,0.16114351,1
1774620313015,-0.9498576,2.1076078,3.7315302,0.35582733,-0.20377718,-0.30315104,19.268559,0.2600388,1
1774620313042,-1.0244176,2.6412826,2.2791977,0.05898813,-0.02251608,-0.26503024,13.220548,0.0742276,1
1774620313054,-1.6509702,3.479556,0.7743578,-0.20049636,0.18730646,-0.04320023,15.432644,0.07714876,1
1774620313074,-2.1696827,2.8927894,2.644456,-0.16104326,-0.039886102,0.11724349,20.068901,0.04127187,1
1774620313095,-1.7835323,1.3843656,4.741496,0.060969945,-0.3687008,0.08823239,27.57924,0.14744256,1
1774620313115,-0.81022125,0.018118858,3.379737,0.1689039,-0.34245425,0.010225497,12.079409,0.14590801,1
1774620313141,-0.3214405,-0.40022516,0.19681072,0.07444295,0.036488704,0.015937787,0.30223864,0.0071271914,1
1774620313154,-0.3650399,-0.06680632,-1.9964275,-0.174433,0.4374481,0.12953407,4.1234403,0.2385668,1
1774620313174,-0.74495065,0.17025948,-2.3007202,-0.44474253,0.5668157,0.29630628,5.8772535,0.60687333,1
1774620313194,-1.3735611,-0.028317928,-1.0461965,-0.61699384,0.3947475,0.484995,2.9819992,0.7717272,1
1774620313214,-1.3565562,-0.44280624,-0.13589287,-0.6600609,0.117060296,0.61699384,2.054789,0.8300649,1
1774620313234,-1.076283,-1.1327176,-0.16105461,-0.5900145,-0.073293835,0.661593,2.467373,0.79119444,1
1774620313258,-0.5618865,-1.7396166,-1.0780387,-0.45093778,-0.12492094,0.63784456,4.50415,0.62579584,1
1774620313273,-0.18157709,-2.1400673,-2.0523963,-0.24874273,-0.052443147,0.5574395,8.82519,0.37536204,1
1774620313295,0.21389124,-2.4768498,-2.8336105,0.021050535,0.121773355,0.4257904,14.209883,0.19656934,1
1774620313314,0.4748748,-2.5050278,-3.1302085,0.28561446,0.26354805,0.28146765,16.298876,0.23025723,1
1774620313341,0.5544613,-2.1424417,-3.3126097,0.40573907,0.2904774,0.18320961,15.870867,0.28256708,1
1774620313355,0.4251023,-1.3614948,-3.6798172,0.37905952,0.24541195,0.18206048,15.575435,0.23705916,1
1774620313377,0.3370669,-0.49313736,-4.110567,0.254022,0.33121285,0.22316232,17.25356,0.22403055,1
1774620313393,0.4197883,0.28917503,-4.238222,0.1377944,0.51978505,0.2994372,18.22237,0.37882644,1
1774620313414,0.10595524,1.1156912,-2.6575823,0.20114586,0.67658156,0.40205857,8.318737,0.65987337,1
1774620313437,-0.027647734,1.7926421,-0.28502464,0.3792094,0.6961332,0.4443928,3.2955692,0.8258862,1
1774620313453,0.20696926,1.9143157,1.3269272,0.47380358,0.5805718,0.41799635,5.468177,0.73627436,1
1774620313473,0.065737486,2.0656042,1.9724836,0.4073545,0.3888187,0.44132847,8.161734,0.5118885,1
1774620313493,-0.26238465,2.3602943,1.4433041,0.23994946,0.42420825,0.4778838,7.722962,0.46590132,1
1774620313513,-0.26370347,2.3510618,1.3397913,0.24519543,0.58130455,0.4743365,7.3920717,0.6230309,1
1774620313533,-0.3438024,2.369482,3.2321749,0.30611542,0.53680533,0.44342688,16.1796,0.578494,1
1774620313553,-0.5920844,2.1644082,3.7903748,0.08846554,0.40527278,0.41160125,19.402168,0.34148777,1
1774620313572,-0.9870264,1.9741144,2.0850554,-0.38114128,0.4766514,0.5347735,9.218805,0.658448,1
1774620313592,-1.836689,2.2946649,1.3374496,-0.6140794,0.53807104,0.783383,10.427685,1.2803029,1
1774620313613,-2.620316,1.7199388,4.0564137,-0.3870534,0.311045,0.918263,26.278738,1.0897663,1
1774620313632,-2.0238261,0.21906185,6.205245,0.00631183,0.052909456,0.8050331,42.648926,0.65091753,1
1774620313652,-0.8787416,-1.1593437,4.528599,0.16477373,0.07417649,0.5864506,22.624472,0.3765768,1
1774620313672,-0.37741482,-1.1285543,0.69903564,0.10660165,0.39090046,0.44477585,1.9047277,0.36199263,1
1774620313692,-0.8832818,-0.61166906,-1.3289809,-0.0019485069,0.6323488,0.4788997,2.920516,0.6292137,1
1774620313712,-1.8497958,-0.12718582,-1.5272956,-0.15834533,0.5831531,0.62545407,5.7705526,0.7563336,1
1774620313732,-2.1001332,-0.19669962,-1.8531232,-0.38871878,0.35487807,0.7615331,7.883315,0.85697335,1
1774620313753,-1.6017052,-0.6037278,-2.7481513,-0.545532,0.21272032,0.8403894,10.482283,1.0491095,1
1774620313771,-0.9645237,-0.93256855,-3.2886076,-0.50148237,0.2250109,0.89574695,12.614929,1.1044772,1
1774620313792,-0.47329605,-1.1842635,-3.3709846,-0.3050329,0.34899923,0.89161676,12.990026,1.009826,1
1774620313811,0.06750059,-1.5016952,-3.3822026,-0.023981623,0.43891367,0.86918396,13.698939,0.9487011,1
1774620313831,0.31173924,-1.5696366,-3.112216,0.14315696,0.38403904,0.79858804,12.246828,0.8057228,1
1774620313853,0.72912544,-1.600522,-3.4391189,0.13589586,0.23738477,0.71813303,14.920834,0.59053427,1
1774620313872,1.0127457,-1.3010108,-3.880608,0.053409074,0.17426646,0.64562196,17.777403,0.45004904,1
1774620313891,1.2360828,-0.85824347,-4.0554204,0.038920175,0.26707867,0.5887988,18.710917,0.41952983,1
1774620313911,1.1131192,-0.30831766,-3.1973581,0.19924732,0.44719064,0.5565568,11.557193,0.5494345,1
1774620313934,0.8445928,0.19545174,-1.5943565,0.38746974,0.47630167,0.52426493,3.2935114,0.6518498,1
1774620313952,0.6525639,0.63657045,-0.40504026,0.4047898,0.28363267,0.47641826,0.9951192,0.47127664,1
1774620313972,0.6658415,0.9891772,-0.2949524,0.2475936,0.04546516,0.4300871,1.5088134,0.24834457,1
1774620313992,0.6511337,1.2814584,-0.6831722,0.07227795,-0.002797856,0.3994439,2.532835,0.16478735,1
1774620314011,0.5225609,1.643477,-0.30510426,0.048862558,0.1273191,0.35950783,3.067175,0.14784358,1
1774620314031,0.52407235,1.6736188,1.2244205,0.15118414,0.14638783,0.2397163,4.574857,0.10174995,1
1774620314052,0.5002313,1.4084263,3.3614292,0.2021118,-0.14225766,0.02699598,13.533103,0.061815206,1
1774620314070,0.8568357,1.5518527,4.051443,0.04852948,-0.30100268,-0.19814816,19.556604,0.13222042,1
1774620314091,1.2651538,2.129548,2.2182994,-0.23668529,-0.030543262,-0.2808681,11.056441,0.13583972,1
1774620314110,0.72322524,2.673864,1.2229242,-0.36903387,0.36735183,-0.23247185,9.168146,0.32517654,1
1774620314130,-0.5523617,2.4239526,3.212532,-0.2703262,0.2695601,-0.12893453,16.50101,0.16236301,1
1774620314150,-1.3383856,1.6590209,5.3822527,-0.13940984,-0.18963802,-0.12916769,33.512268,0.072081976,1
1774620314170,-0.64852566,0.5998578,4.0129147,-0.13892688,-0.3500151,-0.23528637,16.883898,0.19717093,1
1774620314191,0.022331893,0.27688885,0.95836735,-0.19225268,-0.106684916,-0.2635647,0.99563414,0.11780912,1
1774620314210,-0.106146336,0.60912323,-0.8013034,-0.28038514,0.16532332,-0.15523104,1.0243852,0.1300443,1
1774620314230,-0.46004176,0.72041655,-1.1978331,-0.39604652,0.2093729,-0.022932427,2.1654425,0.20121574,1
1774620314252,-0.46946007,0.12183428,-0.779624,-0.45686656,0.05822205,0.03980283,0.8430499,0.21370113,1
1774620314270,-0.23058033,-0.64317083,-0.5251665,-0.37309742,-0.06743166,0.027528904,0.74263585,0.14450656,1
1774620314290,-0.069761336,-1.2967882,-0.76466084,-0.15266635,-0.10198852,0.0020650842,2.2712326,0.033712935,1
